post_id,date,likes,comments,reposts,views,attachments,text
2073,2023-10-09 15:20:00,18,0,2,301,1,152
2066,2023-10-09 10:20:49,19,0,1,413,2,61
2064,2023-10-07 19:41:42,19,0,1,262,0,4
2063,2023-10-06 19:52:41,18,0,1,345,0,1
2062,2023-10-06 17:07:26,19,0,1,405,1,191
2060,2023-10-06 11:07:48,18,0,1,358,0,1
2059,2023-10-06 11:07:05,18,0,1,281,0,2
2058,2023-10-05 11:30:00,19,0,3,406,1,51
2056,2023-10-04 16:30:00,16,0,1,431,1,32
2055,2023-10-03 11:51:54,16,0,1,365,0,6
2053,2023-10-03 10:00:01,17,0,3,434,1,49
2052,2023-10-02 20:16:25,18,0,3,512,1,23
2050,2023-10-02 14:50:09,17,0,3,469,2,71
2048,2023-09-30 19:00:30,20,0,7,661,1,172
2046,2023-09-30 17:57:52,17,0,2,646,1,99
2045,2023-09-30 12:58:05,17,0,2,418,1,31
2044,2023-09-29 16:46:30,18,0,1,448,1,119
2042,2023-09-28 13:15:00,17,0,1,474,1,136
2029,2023-09-25 17:40:00,40,11,4,1771,4,154
2028,2023-09-25 15:30:00,16,0,3,711,1,81
2025,2023-09-23 16:00:01,17,0,1,563,1,92
2019,2023-09-22 18:40:00,60,4,6,2039,4,137
2017,2023-09-21 14:00:02,18,0,1,571,1,65
2014,2023-09-21 10:50:48,19,0,3,712,1,36
2007,2023-09-20 19:25:39,16,0,1,778,1,87
2001,2023-09-20 18:00:02,63,10,8,2388,4,209
2000,2023-09-20 16:05:13,20,0,1,582,1,33
1996,2023-09-19 12:05:15,17,0,3,595,0,9
1984,2023-09-18 18:00:02,69,12,13,2825,4,171
1983,2023-09-18 16:35:04,17,0,2,575,1,26
1981,2023-09-18 15:51:22,18,1,8,614,1,79
1977,2023-09-16 16:00:16,38,0,10,942,4,191
1976,2023-09-16 12:12:59,17,0,2,824,1,58
1975,2023-09-15 19:48:23,16,0,2,623,0,4
1973,2023-09-15 18:26:41,18,0,2,522,0,8
1972,2023-09-14 15:40:26,44,0,8,1533,4,147
1970,2023-09-11 13:34:37,18,0,2,680,0,1
1968,2023-09-10 17:02:18,18,0,1,581,0,7
1967,2023-09-10 14:04:32,19,1,2,588,0,7
1966,2023-09-07 15:30:22,18,0,4,680,0,3
1965,2023-09-07 12:10:00,31,0,6,1373,1,104
1963,2023-09-06 12:10:00,19,0,3,681,1,181
1962,2023-09-05 17:10:00,17,0,1,632,1,106
1961,2023-09-05 14:00:02,18,0,5,634,1,82
1959,2023-09-04 18:40:11,19,0,4,1064,0,91
1958,2023-09-04 16:10:00,17,0,2,572,1,108
1957,2023-09-04 13:00:04,17,1,2,530,0,3
1956,2023-09-04 11:00:01,18,0,1,624,1,118
1955,2023-09-03 18:00:01,19,0,5,705,1,137
1954,2023-09-03 16:10:43,18,0,7,701,1,96
1953,2023-09-03 12:33:24,16,0,1,497,0,2
1946,2023-09-02 21:16:22,16,0,1,522,0,1
1945,2023-08-30 12:00:02,26,0,12,920,6,56
1943,2023-08-28 15:34:31,16,0,1,687,0,8
1942,2023-08-28 12:00:03,23,0,9,969,1,198
1940,2023-08-27 14:30:00,19,0,5,741,2,140
1931,2023-07-23 21:57:18,101,5,76,2942,1,206
1913,2023-07-19 01:00:00,9,0,1,759,0,1
